draw,M,C,L,KD,MP,S,V,SD,ÖVR,bloc_1,bloc_2
1,70,25,19,22,22,99,30,62,0,176,173
2,71,25,19,22,22,99,29,62,0,175,174
3,69,25,19,22,22,100,30,62,0,177,172
4,70,25,19,22,22,99,30,62,0,176,173
5,71,25,19,22,22,99,30,61,0,176,173
6,71,25,19,22,21,99,30,62,0,175,174
7,70,26,19,22,22,99,29,62,0,176,173
8,70,25,19,21,22,100,30,62,0,177,172
9,71,25,19,22,21,100,29,62,0,175,174
10,71,25,19,22,22,100,29,61,0,176,173
11,71,25,19,22,21,100,29,62,0,175,174
12,71,25,19,22,22,98,29,63,0,174,175
13,71,25,19,22,22,99,29,62,0,175,174
14,71,25,19,22,22,99,29,62,0,175,174
15,70,25,19,22,22,100,29,62,0,176,173
16,71,25,19,22,22,99,29,62,0,175,174
17,71,25,19,22,21,99,30,62,0,175,174
18,71,25,19,22,22,99,30,61,0,176,173
19,70,25,19,22,22,99,30,62,0,176,173
20,71,25,19,22,22,98,30,62,0,175,174
21,71,25,19,22,21,99,29,63,0,174,175
22,71,25,19,22,22,99,29,62,0,175,174
23,70,25,19,22,22,99,30,62,0,176,173
24,69,25,19,22,22,100,30,62,0,177,172
25,71,25,19,22,22,99,30,61,0,176,173
26,70,25,19,22,22,99,30,62,0,176,173
27,71,25,19,22,22,99,29,62,0,175,174
28,70,25,19,21,22,100,30,62,0,177,172
29,71,25,20,22,22,98,29,62,0,174,175
30,70,25,19,22,22,99,30,62,0,176,173
31,71,25,19,22,22,99,29,62,0,175,174
32,70,25,19,22,22,99,30,62,0,176,173
33,70,25,19,22,22,100,30,61,0,177,172
34,70,25,19,21,22,100,31,61,0,178,171
35,71,25,19,22,22,99,29,62,0,175,174
36,71,25,19,22,22,99,29,62,0,175,174
37,71,25,20,22,22,99,29,61,0,175,174
38,71,25,19,22,21,99,30,62,0,175,174
39,70,25,19,22,22,99,30,62,0,176,173
40,71,25,19,22,22,99,29,62,0,175,174
41,71,25,20,22,21,99,29,62,0,174,175
42,70,25,20,22,22,99,29,62,0,175,174
43,71,25,19,22,22,99,29,62,0,175,174
44,71,25,19,22,22,99,29,62,0,175,174
45,71,25,19,22,22,99,29,62,0,175,174
46,71,26,19,22,21,99,29,62,0,175,174
47,71,25,19,22,22,99,30,61,0,176,173
48,70,25,19,22,22,99,30,62,0,176,173
49,71,25,19,22,22,99,29,62,0,175,174
50,70,25,19,22,22,99,30,62,0,176,173
51,70,25,19,22,22,99,30,62,0,176,173
52,71,25,19,22,22,99,29,62,0,175,174
53,71,25,19,22,22,99,29,62,0,175,174
54,71,25,19,22,22,99,29,62,0,175,174
55,70,25,19,22,22,99,30,62,0,176,173
56,71,26,19,22,22,99,29,61,0,176,173
57,71,25,18,22,22,99,30,62,0,176,173
58,71,25,19,22,21,99,30,62,0,175,174
59,70,25,19,22,22,99,30,62,0,176,173
60,70,25,19,22,22,99,30,62,0,176,173
61,71,25,19,22,23,98,30,61,0,176,173
62,70,25,19,22,22,99,30,62,0,176,173
63,72,25,19,22,22,98,29,62,0,174,175
64,70,25,19,21,22,100,30,62,0,177,172
65,70,25,19,22,22,100,30,61,0,177,172
66,71,25,20,22,22,99,29,61,0,175,174
67,71,25,19,22,21,100,29,62,0,175,174
68,70,25,19,22,22,99,30,62,0,176,173
69,71,25,19,22,22,99,29,62,0,175,174
70,70,25,19,22,22,99,30,62,0,176,173
71,71,25,19,22,21,99,29,63,0,174,175
72,71,25,19,22,22,98,30,62,0,175,174
73,71,25,20,22,21,99,30,61,0,175,174
74,71,25,19,22,21,99,30,62,0,175,174
75,70,25,19,22,22,99,30,62,0,176,173
76,71,25,19,22,22,99,29,62,0,175,174
77,70,25,19,22,22,99,30,62,0,176,173
78,71,25,19,21,22,99,30,62,0,176,173
79,70,25,19,22,22,100,29,62,0,176,173
80,70,25,19,22,22,99,30,62,0,176,173
81,71,26,20,22,22,98,28,62,0,174,175
82,71,25,19,22,22,99,29,62,0,175,174
83,71,26,20,22,22,98,29,61,0,175,174
84,69,25,19,22,22,100,31,61,0,178,171
85,70,25,19,22,22,99,30,62,0,176,173
86,71,25,19,22,21,99,30,62,0,175,174
87,71,25,19,22,22,99,29,62,0,175,174
88,70,25,19,22,21,99,31,62,0,176,173
89,70,25,20,21,22,99,30,62,0,176,173
90,70,25,19,22,22,99,30,62,0,176,173
91,70,25,19,22,22,99,30,62,0,176,173
92,71,25,19,22,22,99,30,61,0,176,173
93,71,25,19,21,22,99,30,62,0,176,173
94,71,25,19,22,22,99,29,62,0,175,174
95,71,25,19,22,22,99,29,62,0,175,174
96,71,26,19,22,22,98,29,62,0,175,174
97,71,25,19,22,22,98,30,62,0,175,174
98,70,25,19,22,22,99,30,62,0,176,173
99,70,25,19,22,22,99,30,62,0,176,173
100,70,25,19,22,22,99,30,62,0,176,173
101,71,25,19,22,21,99,30,62,0,175,174
102,70,25,19,22,22,99,30,62,0,176,173
103,71,25,19,22,22,99,29,62,0,175,174
104,71,25,19,22,22,99,29,62,0,175,174
105,71,25,19,22,22,99,29,62,0,175,174
106,71,25,19,22,22,99,29,62,0,175,174
107,71,25,20,22,22,98,29,62,0,174,175
108,70,25,19,22,22,99,30,62,0,176,173
109,70,25,19,22,22,100,29,62,0,176,173
110,70,25,19,22,22,99,30,62,0,176,173
111,71,26,19,22,22,98,29,62,0,175,174
112,71,25,19,22,21,99,30,62,0,175,174
113,71,25,19,22,22,99,29,62,0,175,174
114,70,25,19,22,22,100,29,62,0,176,173
115,71,25,19,22,22,99,29,62,0,175,174
116,71,25,19,22,21,100,29,62,0,175,174
117,70,25,19,22,22,100,29,62,0,176,173
118,70,25,19,22,22,99,30,62,0,176,173
119,70,25,19,22,22,99,30,62,0,176,173
120,71,25,19,22,22,99,29,62,0,175,174
121,71,25,19,22,22,98,30,62,0,175,174
122,71,25,19,22,21,99,30,62,0,175,174
123,70,25,19,22,22,100,30,61,0,177,172
124,70,25,19,22,22,99,30,62,0,176,173
125,70,25,20,22,22,99,29,62,0,175,174
126,71,25,19,22,22,99,29,62,0,175,174
127,71,26,19,22,22,99,29,61,0,176,173
128,71,25,19,22,22,99,29,62,0,175,174
129,70,25,19,22,22,99,30,62,0,176,173
130,70,25,19,22,22,99,30,62,0,176,173
131,71,25,19,22,22,99,30,61,0,176,173
132,70,25,19,22,22,99,30,62,0,176,173
133,70,25,19,22,22,99,30,62,0,176,173
134,70,25,19,22,22,99,30,62,0,176,173
135,71,25,19,22,22,98,30,62,0,175,174
