draw,M,C,L,KD,MP,S,V,SD,ÖVR,bloc_1,bloc_2
1,70,25,19,22,22,99,30,62,0,176,173
2,71,25,19,22,22,99,29,62,0,175,174
3,69,25,19,22,22,100,30,62,0,177,172
4,70,25,19,21,23,99,30,62,0,177,172
5,71,25,19,22,21,100,30,61,0,176,173
6,71,25,19,22,22,99,29,62,0,175,174
7,70,26,19,22,22,99,30,61,0,177,172
8,70,25,19,22,22,99,30,62,0,176,173
9,71,25,19,22,22,99,29,62,0,175,174
10,71,25,19,22,21,100,29,62,0,175,174
11,71,25,19,22,21,100,29,62,0,175,174
12,71,25,19,22,22,98,29,63,0,174,175
13,71,26,19,22,22,98,29,62,0,175,174
14,71,25,19,22,22,99,29,62,0,175,174
15,71,25,19,22,21,100,29,62,0,175,174
16,71,25,20,22,22,99,29,61,0,175,174
17,71,25,19,22,21,99,30,62,0,175,174
18,71,25,19,22,22,99,29,62,0,175,174
19,70,25,19,22,21,100,30,62,0,176,173
20,71,25,19,22,22,98,30,62,0,175,174
21,71,25,19,22,22,99,29,62,0,175,174
22,71,25,19,22,22,99,29,62,0,175,174
23,70,25,19,22,22,99,30,62,0,176,173
24,70,25,19,22,22,100,29,62,0,176,173
25,71,25,19,22,22,99,30,61,0,176,173
26,71,25,19,22,22,100,29,61,0,176,173
27,70,25,19,22,22,100,29,62,0,176,173
28,70,25,19,22,22,99,30,62,0,176,173
29,71,25,20,22,22,98,29,62,0,174,175
30,71,25,19,22,22,99,29,62,0,175,174
31,71,25,19,22,21,99,29,63,0,174,175
32,70,25,19,22,22,99,30,62,0,176,173
33,70,25,19,22,22,100,30,61,0,177,172
34,70,25,20,21,22,99,31,61,0,177,172
35,71,25,19,22,22,99,29,62,0,175,174
36,71,25,19,22,22,98,30,62,0,175,174
37,71,25,19,22,22,99,29,62,0,175,174
38,71,25,19,22,21,99,30,62,0,175,174
39,71,25,19,22,22,99,30,61,0,176,173
40,71,25,19,22,22,99,29,62,0,175,174
41,71,25,20,22,22,99,29,61,0,175,174
42,71,25,19,22,22,99,29,62,0,175,174
43,70,25,19,22,22,99,30,62,0,176,173
44,71,25,19,22,22,99,29,62,0,175,174
45,71,25,19,22,22,99,29,62,0,175,174
46,71,26,19,22,22,98,29,62,0,175,174
47,71,25,19,22,22,98,31,61,0,176,173
48,70,25,19,22,22,99,30,62,0,176,173
49,71,25,19,22,22,99,29,62,0,175,174
50,71,25,19,22,22,99,29,62,0,175,174
51,70,25,18,22,22,100,30,62,0,177,172
52,71,25,19,22,22,99,29,62,0,175,174
53,71,25,19,22,22,98,30,62,0,175,174
54,71,25,19,22,22,99,30,61,0,176,173
55,71,25,19,22,22,99,29,62,0,175,174
56,71,25,19,22,22,99,29,62,0,175,174
57,70,25,19,22,22,99,30,62,0,176,173
58,70,25,19,22,22,99,30,62,0,176,173
59,70,25,19,21,22,99,30,63,0,176,173
60,71,25,19,22,22,99,29,62,0,175,174
61,70,26,19,22,23,98,30,61,0,177,172
62,70,25,19,22,22,99,30,62,0,176,173
63,71,26,19,22,22,98,29,62,0,175,174
64,70,25,19,21,23,99,30,62,0,177,172
65,70,25,19,22,22,100,30,61,0,177,172
66,71,25,19,22,22,99,30,61,0,176,173
67,71,25,19,22,22,99,29,62,0,175,174
68,70,25,19,22,22,99,30,62,0,176,173
69,71,25,19,22,22,99,29,62,0,175,174
70,70,25,19,22,22,99,30,62,0,176,173
71,71,25,19,22,22,99,29,62,0,175,174
72,71,25,19,22,22,99,29,62,0,175,174
73,71,25,19,22,22,98,30,62,0,175,174
74,71,25,19,22,21,99,29,63,0,174,175
75,71,25,19,21,22,99,30,62,0,176,173
76,71,25,20,22,22,98,29,62,0,174,175
77,70,25,19,22,22,99,30,62,0,176,173
78,71,25,19,21,22,99,30,62,0,176,173
79,70,25,19,22,22,100,29,62,0,176,173
80,71,25,19,22,21,99,30,62,0,175,174
81,71,26,20,22,23,98,28,61,0,175,174
82,71,25,19,22,22,99,29,62,0,175,174
83,71,26,19,22,22,99,29,61,0,176,173
84,70,25,19,22,22,99,31,61,0,177,172
85,70,25,19,22,22,99,30,62,0,176,173
86,70,25,19,22,22,99,30,62,0,176,173
87,71,25,19,22,22,99,29,62,0,175,174
88,70,25,19,22,22,99,31,61,0,177,172
89,71,25,19,21,22,99,30,62,0,176,173
90,70,25,19,22,22,99,30,62,0,176,173
91,71,25,19,22,22,99,29,62,0,175,174
92,71,25,19,22,22,99,30,61,0,176,173
93,71,25,19,22,22,99,29,62,0,175,174
94,71,25,19,22,22,99,29,62,0,175,174
95,70,25,19,22,22,99,29,63,0,175,174
96,71,25,19,22,22,98,29,63,0,174,175
97,71,25,19,22,22,98,30,62,0,175,174
98,70,25,19,22,21,99,30,63,0,175,174
99,70,25,19,22,22,100,30,61,0,177,172
100,71,25,19,22,22,99,30,61,0,176,173
101,71,25,19,22,22,99,30,61,0,176,173
102,70,25,19,22,22,99,30,62,0,176,173
103,71,25,19,22,22,99,29,62,0,175,174
104,71,25,19,22,22,99,29,62,0,175,174
105,71,25,19,22,22,99,29,62,0,175,174
106,71,25,19,22,22,99,29,62,0,175,174
107,72,25,19,22,22,98,29,62,0,174,175
108,70,26,19,22,22,99,30,61,0,177,172
109,71,25,20,22,21,99,29,62,0,174,175
110,70,25,19,22,22,99,30,62,0,176,173
111,71,25,19,23,22,98,29,62,0,174,175
112,71,25,19,22,21,99,30,62,0,175,174
113,70,26,19,22,22,99,29,62,0,176,173
114,71,25,19,22,22,100,29,61,0,176,173
115,71,26,19,22,22,98,29,62,0,175,174
116,71,25,19,22,22,99,29,62,0,175,174
117,70,25,19,21,22,100,30,62,0,177,172
118,71,25,19,22,22,99,29,62,0,175,174
119,70,25,19,22,22,99,30,62,0,176,173
120,71,25,19,22,22,100,29,61,0,176,173
121,71,25,19,22,22,98,29,63,0,174,175
122,71,25,19,22,21,99,30,62,0,175,174
123,70,25,19,22,22,100,30,61,0,177,172
124,70,25,19,22,22,99,30,62,0,176,173
125,71,25,19,22,22,99,29,62,0,175,174
126,70,25,19,22,22,99,29,63,0,175,174
127,71,25,20,22,22,99,29,61,0,175,174
128,71,25,19,22,22,99,29,62,0,175,174
129,71,25,19,22,22,99,29,62,0,175,174
130,70,25,19,22,21,100,30,62,0,176,173
131,71,25,19,22,22,99,30,61,0,176,173
132,70,25,19,22,22,99,30,62,0,176,173
133,70,25,19,22,22,100,30,61,0,177,172
134,70,25,19,21,22,100,30,62,0,177,172
135,71,25,19,22,22,99,29,62,0,175,174
